prime,TARGET,relation1_f-t,relation2_f-t,FAS_f-t,BAS_f-t,f_CUEfanout,TARGETfanin,rank,LSA_f-t,BEAGLE_RPs,BEAGLE_PMI,BEAGLE cosine,BEAGLE WIKI NIN,BEAGLE WIKI Cosine,LSA
child,baby,category,NA,0.202,0.212,15,91,1,0.41,0.409905089,0.470903196,0.560390078,16,0.679005237,0.705235011
retreat,back,synonym,NA,0.117,0,27,50,1,0.25,0.183778062,0.273705089,NA,NA,NA,0.249609915
knapsack,backpack,synonym,NA,0.291,2.20E-02,16,10,1,0.16,0.038348249,22.01374391,0.083111023,4821,0.17550207,0.406771114
forward,backward,antonym,NA,0.5,0.709,13,3,1,0.77,0.428547235,17.8791289,0.457961072,70,0.669554898,0.360576381
eggs,bacon,category,NA,0.176,0.517,21,13,1,0.35,0.068421618,5.300465963,0.270532027,252,0.189554716,0.469343298
villain,bad,script,NA,0.321,0,11,229,1,0.14,0.116476048,0.289831406,0.143909495,902,0.52520264,0.27066861
sack,bag,synonym,NA,0.444,0.11,9,36,1,0.56,0.366394539,1.54752868,0.514665676,2,0.422112781,0.563544445
broil,bake,category,NA,0.267,4.70E-02,13,16,1,0.14,0.062225459,41.81738349,0.090339788,617,0.083749406,NA
bowling,ball,fpa,NA,0.37,0,13,85,1,0.47,0.232922929,1.485198143,0.440006757,15,0.413872678,0.418391851
tutu,ballet,perceptual property,NA,0.361,0,12,9,1,0.53,0.002759442,11.07551621,0.1080792,1312,0.20832017,0.321002018
helium,balloon,fpa,NA,0.556,0.115,11,7,1,0.14,0.045338382,16.60311122,0.150000914,698,0.40515681,0.451314114
rubber,band,fpa,NA,0.216,0,20,37,1,0.26,0.088911425,0.326526909,0.551289041,2,0.385304692,0.083555287
teller,bank,bpa,NA,0.814,2.80E-02,4,37,1,0.8,0.111683467,2.036416364,0.593738823,4,0.365642679,0.491380311
saloon,bar,synonym,NA,0.571,0,7,46,1,0.2,0.054868423,1.339774174,0.069920299,8678,0.406340064,0.195049221
sale,bargain,synonym,NA,0.131,0.317,17,9,1,0.36,0.067413625,0.774621119,0.347974335,334,0.451628892,0.576908926
foundation,base,synonym,NA,0.167,0.02,19,8,1,0.3,0.151062152,0.100106277,0.316254404,185,0.411865594,0.213599613
catcher,baseball,script,NA,0.293,0,10,50,1,0.72,0.168691975,4.68599732,0.333676015,19,0.73489345,0.951588643
instinct,basic,bpa,NA,0.322,0,20,6,1,0.21,0.09953009,2.150878016,0.242049638,222,0.432260562,0.22881709
wicker,basket,fpa,NA,0.304,4.20E-02,9,16,1,0.37,0.14680799,35.52735924,0.265582537,24,0.429140816,0.592277199
dunk,basketball,unclassifed,NA,0.218,0,16,33,1,NA,0.017898823,3.509700786,NA,NA,0.285084102,0.683857211
treble,bass,antonym,NA,0.487,9.50E-02,8,10,1,0.37,0.088378758,6.3058615,0.239272037,7,0.336646264,0.452492603
ball,bat,instrument,NA,0.19,0.252,17,12,1,0.84,0.148563886,1.91098472,0.534403584,7,0.536984802,0.442699269
robe,bath,bpa,NA,0.181,0,18,20,1,0.2,0.036564739,0.926935388,0.121763333,5523,0.302516565,0.161100614
toilet,bathroom,script,NA,0.336,0.338,15,24,1,0.48,0.081017685,14.49275362,0.271874121,34,0.464130557,0.711500437
coast,beach,category,NA,0.103,1.20E-02,22,60,1,0.26,0.384557832,0.741879553,0.274361997,771,0.527109311,0.69933837
laser,beam,fpa,NA,0.363,4.10E-02,13,6,1,0.65,0.383841878,8.297791698,0.665799678,2,0.653850031,0.788077648
kidney,bean,fpa,NA,0.212,0,15,12,1,0.23,0.044482791,6.934162439,0.049922322,18953,0.202271376,0.276239728
cub,bear,bpa,NA,0.585,5.10E-02,7,27,1,0.74,0.218125645,0.310673327,0.32865953,3,0.295533592,0.493155326
mustache,beard,category,NA,0.446,0.31,9,7,1,0.61,0.505645642,25.9298303,0.585466397,6,0.64803953,0.730151781
beauty,beast,antonym,NA,0.233,7.90E-02,17,6,1,0.31,0.155162899,6.069602429,0.341439165,501,0.585476529,0.349501706
rhythm,beat,synonym,NA,0.354,0,13,25,1,0.49,0.079255912,1.114884787,0.381022022,10,0.379862968,0.418716902
gorgeous,beautiful,synonym,NA,0.184,5.60E-02,17,61,1,0.47,0.108147496,2.131820253,0.160598426,27,NA,0.707401949
loft,bed,unclassified,NA,0.27,0,15,59,1,0.44,0.090284618,1.086341881,0.355282144,9,0.474592049,0.384408388
room,bedroom,supraordinate,NA,0.15,0,22,6,1,0.81,0.30858598,6.435668384,0.735560887,3,0.661563981,0.714759
hive,bee,bpa,NA,0.809,0.173,5,18,1,0.92,0.101296106,28.08286079,0.453996577,3,0.45082836,0.639385939
roast,beef,fpa,NA,0.494,8.50E-02,16,20,1,0.55,0.0960141,56.78676464,0.452300184,4,0.777639979,0.843284001
mug,beer,instrument,NA,0.268,3.80E-02,9,67,1,0.24,0.082640269,7.699107309,0.11433689,1253,0.543748597,0.58424138
after,before,antonym,NA,0.571,0.859,10,10,1,0.81,0.580842501,0.1150911,NA,NA,NA,0.580533791
plead,beg,synonym,NA,0.493,0.25,9,10,1,0.25,0.069871734,2.634573241,0.026163448,NA,0.144793301,0.639329884
originate,begin,synonym,NA,0.244,0,14,13,1,0.13,0.162155566,0.047739694,0.167606163,592,0.536289499,0.4375617
novice,beginner,synonym,NA,0.283,0.199,10,4,1,0.18,0.038339897,9.361119946,0.037013693,NA,0.554010651,0.747486803
ending,beginning,antonym,NA,0.486,0,11,24,1,0.56,0.315653296,0.203681472,0.475038299,3,0.752462548,0.624328429
ahead,behind,antonym,NA,0.424,2.70E-02,12,13,1,0.61,0.229880427,0.81321097,NA,NA,NA,0.705461681
human,being,fpa,NA,0.244,0.34,16,11,1,0.41,0.143288307,0.09426696,NA,NA,NA,0.328448503
superstition,belief,unclassifed,NA,0.11,0,27,21,1,0.35,0.075844059,2.105281473,0.24693807,8,0.670018799,0.773955001
disbelieve,believe,antonym,NA,0.156,6.70E-02,26,16,1,NA,0.093535892,1.337019393,NA,NA,NA,0.550286433
chime,bell,perceptual property,NA,0.36,0,9,17,1,0.24,0.175026828,8.694205577,0.161939483,401,0.444900052,0.420221459
above,below,antonym,NA,0.564,0.503,9,12,1,0.79,0.564870701,0.779992808,NA,NA,NA,0.627046976
sash,belt,category,NA,0.135,0,19,14,1,0.16,0.091465867,4.182071972,0.207514977,238,0.415733927,0.193091989
flexible,bend,unclassifed,NA,0.232,4.80E-02,19,21,1,0.48,0.05986118,0.551201389,0.276259171,542,0.290266446,0.132280832
favorite,best,unclassifed,NA,0.326,0,14,32,1,0.46,0.262337634,0.566688912,NA,NA,NA,0.345474732
worse,better,antonym,NA,0.403,0.435,10,14,1,0.56,0.447636832,0.49748619,NA,NA,NA,0.680930282
proverb,bible,unclassifed,NA,0.345,0,15,29,1,0.05,0.013664467,0.204110916,0.141981343,320,0.367028358,0.400887985
tricycle,bicycle,category,NA,0.464,4.70E-02,9,18,1,0.09,0.471961837,17.59614844,0.243846185,12,0.313934349,0.324892374
huge,big,synonym,NA,0.393,0.02,7,123,1,0.36,0.364499229,0.215262099,0.640194468,9,0.687219085,0.738432527
pedal,bike,perceptual property,bpa,0.544,4.70E-02,11,18,1,0.5,0.086120477,3.881595199,0.226474851,32,0.225130209,0.626925874
idol,billy,bpa,NA,0.224,NA,15,2,1,0.08,0.027164157,2.057334708,0.061906514,7246,0.478673629,0.497285493
science,biology,supraordinate,NA,0.214,0.182,18,23,1,0.81,0.379824857,3.511732341,0.640297076,4,0.671504571,0.676838177
wings,bird,perceptual property,NA,0.476,3.50E-02,8,79,1,0.78,0.271589181,0.479730544,0.609553451,4,0.460477539,0.48242695
drill,bit,fpa,NA,0.145,7.20E-02,19,5,1,0.24,0.087123996,2.483039207,0.203032959,566,0.391728363,0.319287195
snob,bitch,synonym,NA,0.111,NA,18,17,1,-0.01,0.013699916,0,0.005127901,NA,0.27638372,0.694650288
bit,bite,unclassified,NA,0.145,0,14,37,1,0.41,1,38.89402467,0.37856915,863,0.293040812,0.508425756
white,black,antonym,category,0.655,0.557,8,137,1,0.72,0.363006079,1.206987567,0.830102175,2,0.865342716,0.82907029
scapegoat,blame,synonym,NA,0.11,2.70E-02,21,10,1,0.16,0.029172998,5.800523758,0.049072084,8476,0.679285541,0.808341142
quilt,blanket,category,NA,0.322,0,16,19,1,0.39,0.328423329,3.408585155,0.353243716,3,NA,0.69104929
clorox,bleach,fpa,NA,0.787,6.80E-02,6,10,1,0.34,0,84.94372478,0.134168204,224,NA,NA
brunette,blonde,antonym,category,0.571,0.238,9,14,1,NA,0,123.4638562,NA,NA,0.790292354,0.953279786
cut,blood,unclassifed,NA,0.168,2.80E-02,21,73,1,0.09,0.094523626,0.199957182,0.183216375,7066,0.446766965,0.257492284
whistle,blow,functional property,bpa,0.175,3.40E-02,16,31,1,0.2,0.355998773,4.760982794,0.235315795,404,0.51053338,0.540181389
